Model,Threshold,Recall,Precision,ROC AUC,F1 Score,Combined Score
Logistic Regression,0.2,0.9664790494058787,0.22325272312270666,0.8193754727176398,0.3627188658874337,0.801595939695718
CatBoost Classifier,0.2,0.958599124452783,0.2312892322549493,0.8250250549219781,0.37266295494882207,0.8013396696927493
LightGBM Classifier,0.2,0.9565978736710444,0.23305704534373475,0.8241048373466495,0.37480091151895323,0.8004905703433077
XGBoost Classifier,0.2,0.9549718574108818,0.2337650408744374,0.8239612554107518,0.37559031877213694,0.7997923690830938
CatBoost Classifier,0.3,0.9195747342088806,0.26364483970451125,0.8250250549219781,0.40979905799726873,0.7892546951804875
Logistic Regression,0.3,0.9168230143839899,0.26306345104794715,0.8193754727176398,0.408823447391171,0.7859888384855211
LightGBM Classifier,0.3,0.9158223889931207,0.2641890672920801,0.8241048373466495,0.41008120974516943,0.7871588876495891
XGBoost Classifier,0.3,0.9155722326454033,0.26572766544451304,0.8239612554107518,0.4119070395588318,0.7873559008576936
CatBoost Classifier,0.4,0.8614133833646028,0.2962660242622387,0.8250250549219781,0.44089497775359304,0.7663932037096135
LightGBM Classifier,0.4,0.8586616635397123,0.29779204441938145,0.8241048373466495,0.44221850038649835,0.7650059830511506
XGBoost Classifier,0.4,0.8564102564102564,0.3000306735024758,0.8239612554107518,0.44437954309449634,0.764269413447253
Logistic Regression,0.4,0.8467792370231395,0.30066172225429677,0.8193754727176398,0.4437598321971683,0.7579542267662953
CatBoost Classifier,0.5,0.7843652282676673,0.3371505376344086,0.8250250549219781,0.47159240458732843,0.7340086115278928
LightGBM Classifier,0.5,0.7813633520950594,0.33472646412688206,0.8241048373466495,0.46867732012904195,0.731648591277333
XGBoost Classifier,0.5,0.7773608505315822,0.3376066054647183,0.8239612554107518,0.4707620057567035,0.7300212030403573
Logistic Regression,0.5,0.7580988117573484,0.3439255518356693,0.8193754727176398,0.473182918260598,0.7194986313460857
Support Vector Machine,0.2,0.6767979987492183,0.3787359137677609,0.8192641867674866,0.48568351135445653,0.6813149576757465
Random Forest Classifier,0.2,0.6762976860537836,0.34042687149782785,0.7895052458955515,0.4528855012982662,0.6655775170552105
K-Neighbors Classifier,0.2,0.5873671044402752,0.312317105613195,0.7228341778912116,0.407798185054926,0.5920934425984863
Random Forest Classifier,0.3,0.5028142589118199,0.3973509933774834,0.7895052458955515,0.44390459363957596,0.5770396219524906
K-Neighbors Classifier,0.3,0.48692933083176987,0.3499325842696629,0.7228341778912116,0.40721757322175733,0.5417584334275999
Support Vector Machine,0.3,0.4813008130081301,0.44853712553910713,0.8192641867674866,0.464341740074816,0.5792980105492742
K-Neighbors Classifier,0.4,0.35672295184490305,0.37354289456450557,0.7228341778912116,0.3649392194497761,0.46819957317977023
Random Forest Classifier,0.4,0.3367104440275172,0.44994150091927126,0.7895052458955515,0.3851767062526828,0.4822421370329606
Support Vector Machine,0.4,0.32220137585991243,0.5054945054945055,0.8192641867674866,0.3935528225498434,0.48559050847017093
Decision Tree,0.2,0.3103189493433396,0.29599141016463854,0.5876346847005625,0.3029858948525371,0.39204705905234594
Decision Tree,0.3,0.31019387116948094,0.2973621103117506,0.5876346847005625,0.3036424854606673,0.39211583808704265
Decision Tree,0.4,0.3096935584740463,0.29899770559111216,0.5876346847005625,0.30425165888424677,0.3919875164240412
Decision Tree,0.5,0.3091932457786116,0.299927202135404,0.5876346847005625,0.304489745642668,0.3917849774280082
K-Neighbors Classifier,0.5,0.25303314571607255,0.42128279883381925,0.7228341778912116,0.31616785184027507,0.4066003965934548
Support Vector Machine,0.5,0.1979987492182614,0.5593639575971732,0.8192641867674866,0.2924711316397229,0.4032728569673213
Random Forest Classifier,0.5,0.19237023139462164,0.4888747616020343,0.7895052458955515,0.27609729826766,0.38825614911950823
